artist,title,album,nof_tracks,key,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,nof notes,%C,%C#,%D,%D#,%E,%F,%F#,%G,%G#,%A,%A#,%B,genre
Iron Maiden,2 Minutes To Midnight,Powerslave,8,C/Am,844,21,1204,12,943,479,90,1201,8,2717,50,294,7863,10.733816609436602,0.2670736360167875,15.312221798295816,0.15261350629530715,11.992878036372884,6.091822459621009,1.1446012972148036,15.27406842172199,0.10174233753020476,34.55424138369579,0.6358896095637797,3.7390309042350243,metal
Iron Maiden,Bring You Daughter To The Slaughter,No Prayer For The Dying,3,G/Em,163,17,293,2,503,4,55,265,5,362,3,266,1938,8.410732714138287,0.8771929824561403,15.118679050567597,0.10319917440660474,25.954592363261092,0.20639834881320948,2.8379772961816303,13.673890608875128,0.2579979360165119,18.67905056759546,0.15479876160990713,13.725490196078432,metal
Iron Maiden,Infinite Dreams,Seventh Son Of A Seventh Son,6,G/Em,406,97,693,51,847,184,690,905,19,489,68,414,4863,8.348755911988484,1.9946535060662143,14.250462677359653,1.0487353485502777,17.417232161217356,3.7836726300637467,14.18877236273905,18.60991157721571,0.39070532593049556,10.055521283158544,1.3983137980670368,8.51326341764343,metal
Iron Maiden,Dream Of Mirrors,Brave new world,4,C/Am,548,1,569,4,419,821,1,1033,0,2309,16,325,6046,9.063843863711545,0.016539861065167055,9.411180946080053,0.06615944426066822,6.930201786304995,13.579225934502151,0.016539861065167055,17.085676480317566,0.0,38.19053919947073,0.2646377770426729,5.375454846179292,metal
Iron Maiden,Drifter,Killers,4,D/Bm,980,0,2218,9,159,92,298,1310,9,655,35,657,6422,15.260043600124574,0.0,34.53752725007786,0.14014325755216445,2.475864216754905,1.4325755216443474,4.640298972282778,20.3986297103706,0.14014325755216445,10.1993148551853,0.5450015571473061,10.230457801308004,metal
Iron maiden,Face in the sand,Dance of death,7,G/Em,1295,0,2044,10,3942,0,445,1291,0,1419,1,1651,12098,10.704248636138205,0.0,16.895354604066785,0.08265829062654984,32.583898164985946,0.0,3.6782939328814677,10.671185319887584,0.0,11.729211439907422,0.008265829062654984,13.646883782443378,metal
Iron Maiden,Mother Russia,No Prayer for the Dying,9,G/Em,556,129,719,142,578,392,435,802,28,618,181,212,4792,11.602671118530884,2.6919866444073457,15.004173622704508,2.963272120200334,12.061769616026712,8.180300500834726,9.07762938230384,16.736227045075125,0.5843071786310517,12.896494156928215,3.777128547579299,4.424040066777963,metal
Iron Maiden,Mother Russia,No Prayer for the Dying,9,G/Em,556,129,719,142,578,392,435,802,28,618,181,212,4792,11.602671118530884,2.6919866444073457,15.004173622704508,2.963272120200334,12.061769616026712,8.180300500834726,9.07762938230384,16.736227045075125,0.5843071786310517,12.896494156928215,3.777128547579299,4.424040066777963,metal
Iron Maiden,Caught Somewhere In Time,Somewhere In Time,6,G/Em,775,3,548,5,1723,290,189,537,4,686,20,1077,5857,13.232030049513401,0.05122076148198737,9.356325764043026,0.08536793580331228,29.417790677821408,4.951340276592112,3.226907973365204,9.168516305275737,0.06829434864264983,11.712480792214444,0.34147174321324913,18.388253372033464,metal
Iron Maiden,Caught Somewhere In Time,Somewhere In Time,6,G/Em,775,3,548,5,1723,290,189,537,4,686,20,1077,5857,13.232030049513401,0.05122076148198737,9.356325764043026,0.08536793580331228,29.417790677821408,4.951340276592112,3.226907973365204,9.168516305275737,0.06829434864264983,11.712480792214444,0.34147174321324913,18.388253372033464,metal
